2023-09-19 03:50:41 | INFO | {}
2023-09-19 04:07:07 | INFO | {"Title":"title","content":"content"}
2023-09-19 04:07:07 | ERROR | created is not defined
2023-09-19 04:07:17 | INFO | {"Title":"title","content":"content"}
2023-09-19 04:29:14 | INFO | {"image":"","Title":"title","content":"content"}
2023-09-19 04:29:14 | ERROR | blog validation failed: image: Path `image` is required.
2023-09-19 04:29:33 | INFO | {"Title":"title","content":"content"}
2023-09-19 04:47:48 | INFO | {}
2023-09-19 04:48:06 | INFO | {}
2023-09-24 08:43:56 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:43:56 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:45:10 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:45:10 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:46:17 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:46:17 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:50:39 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:50:39 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:50:40 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:50:40 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:50:41 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:50:41 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:50:41 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:50:41 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:51:22 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:51:22 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:51:24 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:51:24 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:51:25 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:51:25 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:51:26 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:51:26 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:51:26 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:51:26 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 08:51:27 | INFO | {"Title":"","content":"","image":""}
2023-09-24 08:51:27 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 09:01:44 | INFO | {"Title":"","content":"","image":""}
2023-09-24 09:01:44 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
2023-09-24 09:01:52 | INFO | {"Title":"","content":"","image":""}
2023-09-24 09:01:52 | ERROR | blog validation failed: Title: Path `Title` is required., image: Path `image` is required., content: Path `content` is required.
